app_id,app_name,review_count
10,Counter-Strike,11265
20,Team Fortress Classic,1513
130,Half-Life: Blue Shift,1325
1002,Rag Doll Kung Fu,42
1200,Red Orchestra: Ostfront 41-45,596
1250,Killing Floor,21735
1300,SiN Episodes: Emergence,267
1313,SiN: Gold,15
1500,Darwinia,352
1510,Uplink,1069
1520,DEFCON,1279
1530,Multiwinia,239
1600,Dangerous Waters,88
1610,Space Empires IV Deluxe,86
1630,Disciples II: Rise of the Elves,109
1640,Disciples II: Gallean's Return,197
1690,Space Empires V,162
1700,Arx Fatalis,221
1840,Source Filmmaker,6727
1900,Earth 2160,197
1930,Two Worlds: Epic Edition,1015
10090,Call of Duty: World at War,9342
10100,King's Quest Collection,88
10110,Space Quest Collection,105
10120,Aces of the Galaxy,19
10130,TimeShift,293
10140,3D Ultra Minigolf Adventures Deluxe,37
10150,Prototype,1140
10180,Call of Duty: Modern Warfare 2,7765
10220,Postal 3,578
10230,Dead Mountaineer's Hotel,56
10240,Stroke of Fate: Operation Valkyrie,13
10250,PT Boats: Knights of the Sea,14
10260,PT Boats: South Gambit,6
10270,Disciples III: Reincarnation,145
10460,The Club,38
10500,Total War: EMPIRE - Definitive Edition,6316
10680,Aliens vs. Predator,3073
11040,Sherlock Holmes: Nemesis,45
11050,Dracula: Origin,61
11130,Sherlock Holmes: The Mystery of The Mummy,85
11140,Sherlock Holmes: The Awakened - Remastered,82
11150,Sherlock Holmes: The Secret of the Silver Earring,50
11180,Sherlock Holmes: The Mystery of The Persian Carpet,56
11190,Sherlock Holmes versus Jack the Ripper,130
11200,Shadowgrounds: Survivor,231
11230,Gumboy Tournament,165
11240,Space Trader: Merchant Marine,357
11250,Pacific Storm,5
11260,Pacific Storm: Allies,56
11280,Penguins Arena: Sedna's World,448
11340,Larva Mortus,253
11360,Chains,215
11370,Nikopol: Secrets of the Immortals,131
11390,Crash Time 2,665
11450,Overlord,1026
11480,Soldiers: Heroes of World War II,79
11560,Maelstrom,28
11590,Hospital Tycoon,187
11900,Lumines,40
11920,Lumines: Advanced Pack,8
12130,Manhunt,395
12140,Max Payne,1523
12150,Max Payne 2: The Fall of Max Payne,939
12170,Grand Theft Auto,70
12180,Grand Theft Auto 2,48
12200,Bully: Scholarship Edition,3417
12210,Grand Theft Auto IV: The Complete Edition,14226
12220,Grand Theft Auto: Episodes from Liberty City,2080
12310,Culpa Innata,33
12320,Sacred Gold,338
12330,DarkStar One,153
12340,Jack Keane,37
12360,FlatOut: Ultimate Carnage,521
12420,Perimeter 2: New Earth,26
12430,SlamIt Pinball: Big Score,53
12450,Ankh 3: Battle of the Gods,8
12460,BC Kings,67
12470,Port Royale 2,86
12480,9th Company - Roots of Terror,72
12500,Puzzle Quest,310
12520,18 Wheels of Steel: American Long Haul,163
12530,Hunting Unlimited 2008,10
12560,Ride! Carnival Tycoon,20
12570,Hot Dish,12
12580,Dr. Daisy: Pet Vet,10
12590,Sprint Cars: Road to Knoxville,25
12640,Drakensang,96
12670,Mission Runway,11
12690,Hunting Unlimited 2010,69
12710,Overlord: Raising Hell,319
12750,GRID,1366
12770,Rise of the Argonauts,208
12790,Damnation,124
12830,Operation Flashpoint: Dragon Rising,529
13000,Ninja Reflex: Steamworks Edition,25
13140,America's Army 3,1008
13200,Unreal II: The Awakening,125
13210,Unreal Tournament 3: Black Edition,984
13230,Unreal Tournament 2004,940
13240,Unreal Tournament: Game of the Year Edition,914
13250,Unreal Gold,322
13500,Prince of Persia: Warrior Within,189
13520,Far Cry,1155
13530,Prince of Persia: The Two Thrones,113
13540,Tom Clancy's Rainbow Six: Vegas,150
13560,Tom Clancy's Splinter Cell,376
13570,Tom Clancy's Splinter Cell: Chaos Theory,894
13580,Tom Clancy's Splinter Cell: Double Agent,245
13600,Prince of Persia: The Sands of Time,327
13620,Tom Clancy's Ghost Recon: Desert Siege,15
15000,Tom Clancy's Rainbow Six: Lockdown,70
15080,Rayman: Raving Rabbids,60
15100,Assassin's Creed,1916
15120,Tom Clancy's Rainbow Six: Vegas 2,1350
15130,Beyond Good & Evil,719
15160,Petz Horsez 2,63
15170,Heroes of Might & Magic V,273
15190,Brothers in Arms: Road to Hill 30,222
15200,Silent Hunter: Wolves of the Pacific,140
15210,Silent Hunter III,239
15240,Silent Hunter: Wolves of the Pacific U-Boat Missions,22
15270,Cold Fear,87
15300,Tom Clancy's Ghost Recon,247
15310,The Settlers: Heritage of Kings,43
15320,IL-2 Sturmovik: 1946,604
15370,Heroes of Might & Magic V: Tribes of the East,108
15380,Heroes of Might & Magic V: Hammers of Fate,17
15390,Brothers in Arms: Hell's Highway,306
15400,Harvest: Massive Encounter,67
15500,The Wonderful End of the World,356
15520,AaAaAA!!! - A Reckless Disregard for Gravity,422
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,517
15620,"Warhammer 40,000: Dawn of War II",2359
15700,Oddworld: Abe's Oddysee,872
15710,Oddworld: Abe's Exoddus,347
15740,Oddworld: Munch's Oddysee,309
15750,Oddworld: Stranger's Wrath HD,502
15900,7 Wonders II,26
15920,Luxor 2,5
15930,Luxor 3,15
15960,Little Farm,33
15970,Luxor,14
16000,Discovery! A Seek & Find Adventure,17
16020,Samantha Swift and the Hidden Roses of Athena,10
16030,7 Wonders: The Treasures of Seven,20
16040,Luxor: Quest for the Afterlife,9
16060,Samantha Swift and the Golden Touch,16
16100,Virtual Villagers: A New Home,15
16110,Virtual Villagers 2: The Lost Children,7
16120,Plant Tycoon,29
16130,Fish Tycoon,20
16180,Virtual Villagers 3: The Secret City,22
16200,Virtual Families,16
16300,Everyday Shooter,66
16450,F.E.A.R. 2: Project Origin,1434
16500,Chaos Theory,6
16600,Trials 2: Second Edition,111
16620,Monster Trucks Nitro,22
16710,Insecticide Part 1,171
16720,Velvet Assassin,754
16730,Legendary,912
16810,Sid Meier's Civilization IV: Colonization,196
17080,Tribes: Ascend,4214
17100,Children of the Nile,105
17120,Children of the Nile: Alexandria,28
17140,Hinterland,87
17180,Mosby's Confederacy,17
17330,Crysis Warhead,499
17410,Mirror's Edge,7603
17440,Spore: Creepy & Cute Parts Pack,137
17450,Dragon Age: Origins,1701
17460,Mass Effect (2007),4775
17470,Dead Space,3426
17480,Command and Conquer: Red Alert 3,1136
17570,"Pirates, Vikings, & Knights II",1465
17580,Dystopia,490
17710,Nuclear Dawn,1015
17740,Empires,335
18000,"On the Rain-Slick Precipice of Darkness, Episode One",300
18020,"On the Rain-Slick Precipice of Darkness, Episode Two",95
18040,DeathSpank,258
18050,DeathSpank: Thongs Of Virtue,76
18070,The Baconing,110
18120,Unstoppable Gorg,122
18400,Crazy Machines 2,99
18420,Crazy Machines,35
18470,Helldorado,23
18480,Mata Hari,24
18500,Defense Grid: The Awakening,2026
18600,Mayhem Intergalactic,15
18700,And Yet It Moves,632
18820,Zero Gear,45
19000,Silent Hill: Homecoming,256
19020,Puzzle Chronicles,15
19200,Tank Universal,192
19320,Space Ark,8
19500,Eternity's Child,40
19680,Alice: Madness Returns,3514
19800,Brothers in Arms: Earned in Blood,100
19830,Tom Clancy's Rainbow Six 3: Gold Edition,408
19900,Far Cry 2,2428
19930,The Settlers: Rise of an Empire Gold Edition  ,78
19980,Prince of Persia,458
20200,Galactic Bowling,9
100400,Silo 2,32
102200,Runespell: Overture,199
102500,Kingdoms of Amalur: Reckoning™,4439
102600,Orcs Must Die!,2258
102700,A.V.A. Alliance of Valiant Arms™,5017
102810,Gatling Gears,51
102840,Shank 2,497
102850,WARP,137
104000,iBomber Defense,96
104020,Storm in a Teacup,68
104100,Inside a Star-filled Sky ,58
104200,BEEP,806
104600,Portal 2 - The Final Hours,244
104700,Super Monday Night Combat,2422
104900,ORION: Prelude,11500
105000,A New Beginning - Final Cut,443
105100,Lume,302
105300,Critical Mass,197
105420,Ms. Splosion Man,93
105450,Age of Empires® III (2007),97
105600,Terraria,83899
105700,Tobe's Vertical Adventure,87
106000,The Cursed Crusade,77
107100,Bastion,14665
107200,Space Pirates and Zombies,1756
107300,Breath of Death VII ,695
107310,Cthulhu Saves the World ,1812
107410,Arma 3,31824
107600,Waves,582
107900,War Inc. Battlezone,1391
108110,Starpoint Gemini,66
108200,Ticket to Ride,742
108210,Memoir '44 Online,121
108500,Vessel,311
108600,Project Zomboid,8127
108700,Death Rally,229
108710,Alan Wake,6128
109200,Legend of Fae,64
109500,Fowl Space,110
109700,Achron,69
110400,inMomentum,95
110500,Data Jammers: FastForward,47
110600,Astro Tripper,31
110630,Mutant Storm Reloaded,15
110800,L.A. Noire,5053
111000,The Clockwork Man,45
111010,The Clockwork Man: The Hidden World,39
111100,Snuggle Truck,223
111300,Smash Cars,16
111400,Bunch Of Heroes,195
111600,Serious Sam Double D XXL,218
111800,Blocks That Matter,388
111900,Guardians of Middle-earth,603
112100,Avadon: The Black Fortress,261
113020,Monaco,3634
113200,The Binding of Isaac,20172
113400,APB Reloaded,12378
113420,Fallen Earth,3254
115100,Costume Quest,1449
115110,Stacking,700
115120,Iron Brigade,361
115200,Cossacks II: Napoleonic Wars,83
115210,American Conquest,93
115220,American Conquest - Fight Back,62
115320,PROTOTYPE 2,1632
115800,Owlboy,1044
116100,Super Toy Cars,162
116120,Lightfish,66
200010,Quantum Conundrum,814
200020,Global Ops: Commando Libya,95
200050,Naval War: Arctic Circle,80
200080,Nancy Drew: Shadow at the Water's Edge,40
200130,Puzzler World 2,118
200170,Worms Revolution,1444
200190,Sideway,56
200210,Realm of the Mad God Exalt,12607
200230,Off-Road Drive,182
200260,Batman: Arkham City GOTY,864
200370,A Game of Dwarves,289
200390,Oil Rush,187
200410,SOL: Exodus,58
200490,Memento Mori,40
200510,XCOM: Enemy Unknown,19497
200550,Dungeons - The Dark Lord,80
200630,Gettysburg: Armored Warfare,133
200670,Disciples III: Resurrection,67
200710,Torchlight II,12530
200900,Cave Story+,3257
200910,Before the Echo,905
200940,Sonic CD,927
200960,Geneforge 1,180
200990,Geneforge 3,18
201000,Geneforge 4,13
201010,Geneforge 5,43
201040,Galcon Legends,93
201070,Revelations 2012,176
201210,Pox Nora,242
201230,EverQuest II,636
201290,Sins of a Solar Empire: Trinity,346
201420,Toki Tori 2+,331
201480,Serious Sam: The Random Encounter,242
201490,Airline Tycoon 2,223
201510,Flatout 3,488
201570,Really Big Sky,828
201700,DiRT Showdown,987
201790,Orcs Must Die! 2,139
201810,Wolfenstein: The New Order,11708
201830,Jurassic Park: The Game,725
201870,Assassin's Creed Revelations,1505
202070,Choplifter HD,98
202130,Impire,185
